,music,singer,music_id,release_date,category,music_like,comment_count
0,OMG,NewJeans,35945927,2022.12.19,댄스,254735,3086
1,사건의 지평선,윤하,34819473,2022.03.30,록/메탈,300087,3148
2,Hype boy,NewJeans,35454426,2022.08.01,댄스,261061,2052
3,NOT SORRY,이영지,35937396,2022.12.17,랩/힙합,94575,609
4,Candy,NCTDREAM,35931532,2022.12.16,댄스,149076,7251
5,ANTIFRAGILE,LESSERAFIM,35729104,2022.10.17,댄스,160451,1975
6,After LIKE,IVE,35546497,2022.08.22,댄스,227187,3553
7,Attention,NewJeans,35454425,2022.08.01,댄스,222125,2560
8,Nxde,아이들,35730562,2022.10.17,댄스,158016,2288
9,새삥,지코,35595136,2022.09.06,랩/힙합,145955,913
10,마이웨이,"저스디스,던말릭,허성현,KHAN,맥대디,Los",35888871,2022.12.03,랩/힙합,82001,918
11,LOVE DIVE,IVE,34847378,2022.04.05,댄스,234611,2734
12,Monologue,테이,35643794,2022.09.18,발라드,83430,278
13,너의 모든 순간,성시경,4446485,2014.02.12,"발라드, 국내드라마",261603,460
14,Cookie,NewJeans,35485544,2022.08.01,댄스,134251,970
15,Dreamers,"정국,방탄소년단",35849863,2022.11.20,POP,114678,2150
16,Shut Down,BLACKPINK,35640077,2022.09.16,랩/힙합,118197,2049
17,WHEN I MOVE,카라,35876006,2022.11.29,댄스,51585,902
18,사랑은 늘 도망가,임영웅,34061322,2021.10.11,"발라드, 국내드라마",194252,8741
19,FEARLESS,LESSERAFIM,35009233,2022.05.02,댄스,109536,1828
20,그대를 알고,송하예,35920493,2022.12.13,발라드,37324,95
21,Rush Hour,크러쉬,35665282,2022.09.22,R&B/Soul,111872,609
22,사랑인가 봐,멜로망스,34657844,2022.02.18,"발라드, 국내드라마",184462,256
23,Pink Venom,BLACKPINK,35542908,2022.09.16,랩/힙합,155663,3099
24,잘가요,주호,35890454,2022.12.04,발라드,37320,154
25,해요,안녕,35252996,2022.06.07,"발라드, 인디음악",79720,132
26,그때 그 순간 그대로,WSG워너비,35383397,2022.07.09,발라드,128772,894
27,TOMBOY,아이들,34754292,2022.03.14,록/메탈,235566,3619
28,그라데이션,10cm,35361345,2022.07.03,"인디음악, 포크/블루스",145279,409
29,딱 10CM만,"10cm,BIGNaughty",35668899,2022.09.25,R&B/Soul,109070,338
30,정이라고 하자,BIGNaughty,34927767,2022.04.20,R&B/Soul,208858,767
31,나의 X에게,경서,34943312,2022.04.24,발라드,142447,339
32,내가 아니라도,주호,34787226,2022.03.25,발라드,98832,199
33,미운오리새끼,허성현,35957694,2022.12.24,랩/힙합,31495,306
34,자격지심,BEO,35685439,2022.09.29,랩/힙합,84711,317
35,취중고백,김민석,34431086,2021.12.19,발라드,164910,409
36,오르트구름,윤하,34270805,2021.11.16,록/메탈,95837,726
37,눈  ),던말릭,35937397,2022.12.17,랩/힙합,34883,338
38,ELEVEN,IVE,34349913,2021.12.01,댄스,182805,1628
39,That`s Hilarious,CharliePuth,34864406,2022.10.07,POP,160644,293
40,Say I Love You,우디,35953611,2022.12.21,발라드,61430,79
41,다정히 내 이름을 부르면,"경서예지,전건호",33496587,2021.05.19,발라드,169576,332
42,Snowman,Sia,30717645,2022.12.30,POP,245820,637
43,첫사랑,백아,31343875,2018.10.11,"인디음악, 포크/블루스",146828,268
44,그댄 행복에 살텐데,최유리,35958308,2022.12.27,"발라드, 인디음악",34875,59
45,보고싶었어,WSG워너비,35383398,2022.07.09,R&B/Soul,128424,424
46,"모든 날, 모든 순간",폴킴,30962526,2018.03.20,"발라드, 국내드라마",420724,1074
47,LOVE me,BEO,34875621,2022.04.12,랩/힙합,141115,473
48,눈이 오잖아,이무진,34360855,2021.12.03,발라드,114984,568
